Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
Al10.53-B5.26-Co10.53-Cr10.53-Cu10.53-Fe10.53-Mo10.53-Ni10.53-Si10.53-Ti10.53,as-synthesized,laser-solidified,B2+matrensite,,,11.3,187.1,,,,298.0,50.9,KIC,,"Zhang, H., He, Y. & Pan, Y. Enhanced hardness and fracture toughness of the laser-solidified FeCoNiCrCuTiMoAlSiB0.5 high-entropy alloy by martensite strengthening. Scr. Mater. 69, 342-345, doi:10.1016/j.scriptamat.2013.05.020 (2013)."
Al42.86-Co14.29-Cr14.29-Fe14.29-Ni14.29,as-synthesized,laser-solidified,B2,,,7.5,117.9,,,,298.0,7.6,KIC,,"Zhang, H., He, Y. & Pan, Y. Enhanced hardness and fracture toughness of the laser-solidified FeCoNiCrCuTiMoAlSiB0.5 high-entropy alloy by martensite strengthening. Scr. Mater. 69, 342-345, doi:10.1016/j.scriptamat.2013.05.020 (2013)."
Al23.23-Co15.15-Cr23.23-Cu8.08-Fe15.15-Ni15.15,as-cast,VIM,BCC+B2,,,5.34,,,,,298.0,5.8,KIC,0.2,"Roy, U., Roy, H., Daoud, H., Glatzel, U. & Ray, K. K. Fracture toughness and fracture micromechanism in a cast AlCoCrCuFeNi high entropy alloy system. Mater. Lett. 132, 186-189, doi:10.1016/j.matlet.2014.06.067 (2014)."
Al23.23-Co15.15-Cr23.23-Cu8.08-Fe15.15-Ni15.15,as-cast,VIM,BCC+B2,,,5.34,,,,,298.0,5.4,KIC,0.2,"Roy, U., Roy, H., Daoud, H., Glatzel, U. & Ray, K. K. Fracture toughness and fracture micromechanism in a cast AlCoCrCuFeNi high entropy alloy system. Mater. Lett. 132, 186-189, doi:10.1016/j.matlet.2014.06.067 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,202.0,410.0,763.0,57.0,293.0,217.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,209.0,518.0,925.0,60.0,200.0,221.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,214.5,759.0,1280.0,71.0,77.0,219.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Al5.88-Cr29.41-Fe29.41-Ni29.41-Ti5.88,as-cast,VLM,FCC+BCC+unknown,,,5.00157,,,,,298.0,33.5,KQ,1.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
Al16.67-Cr16.67-Cu16.67-Fe16.67-Ni33.33,as-cast,VLM,FCC+BCC+unknown,,,3.1470662999999997,,,,,298.0,42.5,KQ,2.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
Al16.67-Cr16.67-Cu16.67-Fe16.67-Ni33.33,as-cast,VLM,FCC+BCC+unknown,,,3.1470662999999997,,,,,473.0,46.5,KQ,0.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
Al18.00-Co20.00-Cr21.00-Fe20.00-Ni21.00,as-cast,arc-melted,BCC,,,4.981956,,,366.0,,298.0,9.0,KIC,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Al15.50-Co20.00-Cr22.25-Fe20.00-Ni22.25,as-cast,arc-melted,FCC+BCC+ordered BCC,,,5.080026,,,592.0,,298.0,11.0,KIC,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Al13.00-Co20.00-Cr23.50-Fe20.00-Ni23.50,as-cast,arc-melted,FCC,,,3.7855019999999997,,760.0,1010.0,,298.0,53.0,KIC,,"Chen, C., Pang, S., Cheng, Y. & Zhang, T. Microstructure and mechanical properties of Al20−xCr20+0.5xFe20Co20Ni20+0.5x high entropy alloys. J. Alloys Compd. 659, 279-287, doi:10.1016/j.jallcom.2015.10.258 (2016)."
Co33.33-Cr33.33-Ni33.33,annealed,arc-melted + homogenized (1200°C & 24h) + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,27.5,,,229.0,440.0,884.0,73.0,293.0,207.7,KIC,25.3,"Gludovatz, B., Hohenwarter, A., Thurston, K. V., Bei, H., Wu, Z., George, E. P. & Ritchie, R. O. Exceptional damage-tolerance of a medium-entropy alloy CrCoNi at cryogenic temperatures. Nat. Commun. 7, 10602, doi:10.1038/ncomms10602 (2016)."
Co33.33-Cr33.33-Ni33.33,annealed,arc-melted + homogenized (1200°C & 24h) + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,27.5,,,235.0,554.0,1053.0,68.0,198.0,265.2,KIC,34.3,"Gludovatz, B., Hohenwarter, A., Thurston, K. V., Bei, H., Wu, Z., George, E. P. & Ritchie, R. O. Exceptional damage-tolerance of a medium-entropy alloy CrCoNi at cryogenic temperatures. Nat. Commun. 7, 10602, doi:10.1038/ncomms10602 (2016)."
Al20.00-Co20.00-Cr20.00-Fe20.00-Ni20.00,as-sintered,"SPS (1200°C, 30MPa, & 20min) + furnace-cooled",FCC+BCC+ordered BCC,,7.05,5.080026,,,,,298.0,25.2,KIC,,"Zhang, A., Han, J., Meng, J., Su, B. & Li, P. Rapid preparation of AlCoCrFeNi high entropy alloy by spark plasma sintering from elemental powder mixture. Mater. Lett. 181, 82-85, doi:10.1016/j.matlet.2016.06.014 (2016)."
Mo25.00-Nb25.00-Ta25.00-W25.00,homogenized,arc-melted + homogenized (1800°C & 7days),BCC,,,,,,,,298.0,1.7000000000000002,KIC,0.4,"Zou, Y., Okle, P., Yu, H., Sumigawa, T., Kitamura, T., Maiti, S., Steurer, W. & Spolenak, R. Fracture properties of a refractory high-entropy alloy: In situ micro-cantilever and atom probe tomography studies. Scr. Mater. 128, 95-99, doi:10.1016/j.scriptamat.2016.09.036 (2017)."
Mo25.00-Nb25.00-Ta25.00-W25.00,homogenized,arc-melted + homogenized (1800°C & 7days),BCC,,,,,,,,298.0,0.2,KIC,,"Zou, Y., Okle, P., Yu, H., Sumigawa, T., Kitamura, T., Maiti, S., Steurer, W. & Spolenak, R. Fracture properties of a refractory high-entropy alloy: In situ micro-cantilever and atom probe tomography studies. Scr. Mater. 128, 95-99, doi:10.1016/j.scriptamat.2016.09.036 (2017)."
Co25.00-Cr25.00-Fe25.00-Ni25.00,as-sintered,"SPS (1150°C, 30MPa, & 20min) + furnace-cooled",FCC,,8.15,2.334066,,,,,298.0,24.8,KIC,1.2,"Zhang, A., Han, J., Su, B., Li, P. & Meng, J. Microstructure, mechanical properties and tribological performance of CoCrFeNi high entropy alloy matrix self-lubricating composite. Mater. Design 114, 253-263, doi:10.1016/j.matdes.2016.11.072 (2017)."
C12.50-Co12.50-Cr12.50-Fe12.50-Mo12.50-Ni12.50-S25.00,as-sintered,"SPS (1150°C, 30MPa, & 3min) + furnace-cooled",FCC+graphite+MoS2+Ni,,7.39,2.6576969999999998,,,,,298.0,14.3,KIC,1.7,"Zhang, A., Han, J., Su, B., Li, P. & Meng, J. Microstructure, mechanical properties and tribological performance of CoCrFeNi high entropy alloy matrix self-lubricating composite. Mater. Design 114, 253-263, doi:10.1016/j.matdes.2016.11.072 (2017)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1200°C, 30MPa, & 5min)",FCC+BCC+WC,0.212,,19.888596,,,,,298.0,9.92,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1250°C, 30MPa, & 5min)",FCC+BCC+WC,0.238,,18.849054,,,,,298.0,10.41,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1300°C, 30MPa, & 5min)",FCC+BCC+WC,0.241,,18.545037,,,,,298.0,10.32,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1350°C, 30MPa, & 5min)",FCC+BCC+WC,0.278,,17.574144,,,,,298.0,9.96,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1250°C, 30MPa, & 3min)",FCC+BCC+WC,0.224,,19.466895,,,,,298.0,10.15,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1250°C, 30MPa, & 4min)",FCC+BCC+WC,0.234,,18.898089,,,,,298.0,10.2,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1250°C, 30MPa, & 6min)",FCC+BCC+WC,0.253,,18.545037,,,,,298.0,10.03,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Al5.56-C33.33-Co5.56-Cr5.56-Cu5.56-Fe5.56-Ni5.56-W33.33,as-sintered,"SPS (1250°C, 30MPa, & 5min)",FCC+BCC+WC,0.211,,16.701321,,,,,298.0,9.48,KIC,,"Luo, W., Liu, Y., Luo, Y. & Wu, M. Fabrication and characterization of WC-AlCoCrCuFeNi high-entropy alloy composites by spark plasma sintering. J. Alloys Compd. 754, 163-170, doi:10.1016/j.jallcom.2018.04.270 (2018)."
Cr20.00-Cu20.00-Fe20.00-Ti20.00-Zn20.00,as-sintered,"SPS (800°C, 50MPa, & 3min)",BCC+FCC+Pb+2IMC,,,5.5,241.0,,,,298.0,21.67,KIC,1.81,"Yadav, S., Sarkar, S., Aggarwal, A., Kumar, A. & Biswas, K. Wear and mechanical properties of novel (CuCrFeTiZn)100-xPbx high entropy alloy composite via mechanical alloying and spark plasma sintering. Wear 410-411, 93-109, doi:10.1016/j.wear.2018.05.023 (2018)."
Cr19.00-Cu19.00-Fe19.00-Pb5.00-Ti19.00-Zn19.00,as-sintered,"SPS (800°C, 50MPa, & 3min)",BCC+FCC+Pb+2IMC,,,5.1,174.0,,,,298.0,13.11,KIC,2.57,"Yadav, S., Sarkar, S., Aggarwal, A., Kumar, A. & Biswas, K. Wear and mechanical properties of novel (CuCrFeTiZn)100-xPbx high entropy alloy composite via mechanical alloying and spark plasma sintering. Wear 410-411, 93-109, doi:10.1016/j.wear.2018.05.023 (2018)."
Cr18.00-Cu18.00-Fe18.00-Pb10.00-Ti18.00-Zn18.00,as-sintered,"SPS (800°C, 50MPa, & 3min)",BCC+FCC+Pb+2IMC,,,3.9,144.0,,,,298.0,10.02,KIC,1.42,"Yadav, S., Sarkar, S., Aggarwal, A., Kumar, A. & Biswas, K. Wear and mechanical properties of novel (CuCrFeTiZn)100-xPbx high entropy alloy composite via mechanical alloying and spark plasma sintering. Wear 410-411, 93-109, doi:10.1016/j.wear.2018.05.023 (2018)."
Co22.22-Cr22.22-Fe22.22-Ni22.22-S11.11,as-sintered,"SPS (1100°C, 30MPa, & 20min) + furnace-cooled",FCC+CrxSy,,7.19,2.540013,,,,,298.0,21.8,KIC,1.9,"Zhang, A., Han, J., Su, B. & Meng, J. A promising new high temperature self-lubricating material: CoCrFeNiS0.5 high entropy alloy. Mater. Sci. Eng.: A 731, 36-43, doi:10.1016/j.msea.2018.06.030 (2018)."
Nb25.00-Ta25.00-Ti25.00-Zr25.00,as-cast,arc-melted,BCC,60.0,,,,,,,298.0,28.5,KQ,0.9,"Wang, S.-P., Ma, E. & Xu, J. Notch fracture toughness of body-centered-cubic (TiZrNbTa) Mo high-entropy alloys. Intermetallics 103, 78-87, doi:10.1016/j.intermet.2018.10.008 (2018)."
Mo5.00-Nb23.75-Ta23.75-Ti23.75-Zr23.75,as-cast,arc-melted,BCC,,,,,,,,298.0,22.5,KQ,1.2,"Wang, S.-P., Ma, E. & Xu, J. Notch fracture toughness of body-centered-cubic (TiZrNbTa) Mo high-entropy alloys. Intermetallics 103, 78-87, doi:10.1016/j.intermet.2018.10.008 (2018)."
Mo10.00-Nb22.50-Ta22.50-Ti22.50-Zr22.50,as-cast,arc-melted,BCC,,,,,,,,298.0,20.0,KQ,0.7,"Wang, S.-P., Ma, E. & Xu, J. Notch fracture toughness of body-centered-cubic (TiZrNbTa) Mo high-entropy alloys. Intermetallics 103, 78-87, doi:10.1016/j.intermet.2018.10.008 (2018)."
Mo20.00-Nb20.00-Ta20.00-Ti20.00-Zr20.00,as-cast,arc-melted,BCC,60.0,,,,,,,298.0,18.7,KQ,0.6,"Wang, S.-P., Ma, E. & Xu, J. Notch fracture toughness of body-centered-cubic (TiZrNbTa) Mo high-entropy alloys. Intermetallics 103, 78-87, doi:10.1016/j.intermet.2018.10.008 (2018)."
Al10.71-Co17.86-Cr17.86-Fe17.86-Ni17.86-Ti17.86,as-sprayed,HVOF sprayed,BCC,,,7.737723,156.52,,,,298.0,8.4,KIC,,"Chen, L., Bobzin, K., Zhou, Z., Zhao, L., Öte, M., Königstein, T., Tan, Z. & He, D. Wear behavior of HVOF-sprayed Al0.6TiCrFeCoNi high entropy alloy coatings at different temperatures. Surf. Coat. Technol. 358, 215-222, doi:10.1016/j.surfcoat.2018.11.052 (2019)."
Al10.71-Co17.86-Cr17.86-Fe17.86-Ni17.86-Ti17.86,as-sprayed,HVOF sprayed,BCC,,,7.8456,158.34,,,,598.0,6.7,KIC,,"Chen, L., Bobzin, K., Zhou, Z., Zhao, L., Öte, M., Königstein, T., Tan, Z. & He, D. Wear behavior of HVOF-sprayed Al0.6TiCrFeCoNi high entropy alloy coatings at different temperatures. Surf. Coat. Technol. 358, 215-222, doi:10.1016/j.surfcoat.2018.11.052 (2019)."
Al10.71-Co17.86-Cr17.86-Fe17.86-Ni17.86-Ti17.86,as-sprayed,HVOF sprayed,BCC,,,8.72823,161.07,,,,798.0,5.5,KIC,,"Chen, L., Bobzin, K., Zhou, Z., Zhao, L., Öte, M., Königstein, T., Tan, Z. & He, D. Wear behavior of HVOF-sprayed Al0.6TiCrFeCoNi high entropy alloy coatings at different temperatures. Surf. Coat. Technol. 358, 215-222, doi:10.1016/j.surfcoat.2018.11.052 (2019)."
Al10.71-Co17.86-Cr17.86-Fe17.86-Ni17.86-Ti17.86,heat-treated,HVOF sprayed + heat-treated (800°C & 1h),BCC+σ-CrFe,,,9.21858,170.17,,,,1098.0,5.0,KIC,,"Chen, L., Bobzin, K., Zhou, Z., Zhao, L., Öte, M., Königstein, T., Tan, Z. & He, D. Wear behavior of HVOF-sprayed Al0.6TiCrFeCoNi high entropy alloy coatings at different temperatures. Surf. Coat. Technol. 358, 215-222, doi:10.1016/j.surfcoat.2018.11.052 (2019)."
Cr15.00-Fe20.00-Ni45.00-V20.00,annealed,VIM + homogenized (1100°C & 6h) + pickled (20% HCl) + cold-rolled (75% reduction) + annealed (1000°C + 10min),FCC,13.2,,,,352.0,790.0,64.2,298.0,189.0,KQ,,"Jo, Y. H., Choi, W. M., Kim, D. G., Zargaran, A., Lee, K., Sung, H., Sohn, S. S., Kim, H. S., Lee, B. J. & Lee, S. Utilization of brittle σ phase for strengthening and strain hardening in ductile VCrFeNi high-entropy alloy. Mater. Sci. Eng.: A 743, 665-674, doi:10.1016/j.msea.2018.11.136 (2019)."
Cr15.00-Fe20.00-Ni45.00-V20.00,annealed,VIM + homogenized (1100°C & 6h) + pickled (20% HCl) + cold-rolled (75% reduction) + annealed (1000°C + 10min),FCC,13.2,,,,571.0,1119.0,73.3,77.0,278.0,KQ,,"Jo, Y. H., Choi, W. M., Kim, D. G., Zargaran, A., Lee, K., Sung, H., Sohn, S. S., Kim, H. S., Lee, B. J. & Lee, S. Utilization of brittle σ phase for strengthening and strain hardening in ductile VCrFeNi high-entropy alloy. Mater. Sci. Eng.: A 743, 665-674, doi:10.1016/j.msea.2018.11.136 (2019)."
Cr15.00-Fe20.00-Ni45.00-V20.00,annealed,VIM + homogenized (1100°C & 6h) + pickled (20% HCl) + cold-rolled (75% reduction) + annealed (900°C + 10min),FCC+σ,3.4,,,,587.0,1013.0,38.5,298.0,160.0,KQ,,"Jo, Y. H., Choi, W. M., Kim, D. G., Zargaran, A., Lee, K., Sung, H., Sohn, S. S., Kim, H. S., Lee, B. J. & Lee, S. Utilization of brittle σ phase for strengthening and strain hardening in ductile VCrFeNi high-entropy alloy. Mater. Sci. Eng.: A 743, 665-674, doi:10.1016/j.msea.2018.11.136 (2019)."
Cr15.00-Fe20.00-Ni45.00-V20.00,annealed,VIM + homogenized (1100°C & 6h) + pickled (20% HCl) + cold-rolled (75% reduction) + annealed (900°C + 10min),FCC+σ,3.4,,,,819.0,1369.0,42.7,77.0,244.0,KQ,,"Jo, Y. H., Choi, W. M., Kim, D. G., Zargaran, A., Lee, K., Sung, H., Sohn, S. S., Kim, H. S., Lee, B. J. & Lee, S. Utilization of brittle σ phase for strengthening and strain hardening in ductile VCrFeNi high-entropy alloy. Mater. Sci. Eng.: A 743, 665-674, doi:10.1016/j.msea.2018.11.136 (2019)."
Co22.22-Cr22.22-Fe22.22-Nb11.11-Ni22.22,as-cast,arc-melted,FCC+C14 Laves,25.0,,9.2,,,,,298.0,13.100000000000001,KIC,1.7000000000000002,"Chung, D., Ding, Z. & Yang, Y. Hierarchical Eutectic Structure Enabling Superior Fracture Toughness and Superb Strength in CoCrFeNiNb0.5 Eutectic High Entropy Alloy at Room Temperature. Adv. Eng. Mater. 21, doi:10.1002/adem.201801060 (2018)."
Mo25.00-Nb25.00-Ta25.00-W25.00,as-deposited,PVD,BCC,0.15,,,,,,,298.0,3.3,KIC,,"Xiao, Y., Zou, Y., Ma, H., Sologubenko, A. S., Maeder, X., Spolenak, R. & Wheeler, J. M. Nanostructured NbMoTaW high entropy alloy thin films: High strength and enhanced fracture toughness. Scr. Mater. 168, 51-55, doi:10.1016/j.scriptamat.2019.04.011 (2019)."
Mo25.00-Nb25.00-Ta25.00-W25.00,as-deposited,IBAD,BCC,0.1,,,,,,,298.0,2.9,KIC,,"Xiao, Y., Zou, Y., Ma, H., Sologubenko, A. S., Maeder, X., Spolenak, R. & Wheeler, J. M. Nanostructured NbMoTaW high entropy alloy thin films: High strength and enhanced fracture toughness. Scr. Mater. 168, 51-55, doi:10.1016/j.scriptamat.2019.04.011 (2019)."
Mo25.00-Nb25.00-Ta25.00-W25.00,as-deposited,IBAD,BCC,0.07,,,,,,,298.0,2.9,KIC,,"Xiao, Y., Zou, Y., Ma, H., Sologubenko, A. S., Maeder, X., Spolenak, R. & Wheeler, J. M. Nanostructured NbMoTaW high entropy alloy thin films: High strength and enhanced fracture toughness. Scr. Mater. 168, 51-55, doi:10.1016/j.scriptamat.2019.04.011 (2019)."
Co20.00-Cr10.00-Fe45.00-Ni15.00-V10.00,annealed,VIM + homogenized (1373K & 6h) + cold-rolled (75% reduction) + annealed (1173K & 1h) + water-quenched,FCC,12.0,,,203.8,470.0,1000.0,62.0,77.0,232.0,KIC,,"Jo, Y. H., Doh, K.-Y., Kim, D. G., Lee, K., Kim, D. W., Sung, H., Sohn, S. S., Lee, D., Kim, H. S., Lee, B.-J. & Lee, S. Cryogenic-temperature fracture toughness analysis of non-equi-atomic V10Cr10Fe45Co20Ni15 high-entropy alloy. J. Alloys Compd. 809, doi:10.1016/j.jallcom.2019.151864 (2019)."
